club_name,urls
Alabama Mineral & Lapidary Society,http://www.lapidaryclub.com/
Dothan Gem & Mineral Club,http://www.wiregrassrockhounds.com/
Huntsville Gem and Mineral Society,http://huntsvillegms.org/
Mobile Rock & Gem Society,http://www.mobilerockandgem.com/
Montgomery Gem & Mineral Society,http://montgomerygemandmineralsociety.com/mgms/
,
Chugach Gem & Mineral Society,http://www.chugachgemandmineralsociety.com/
Mat-Su Rock and Mineral Club,http://matsurockclub.com/
,
Apache Junction Rock and Gem Club,http://www.ajrockclub.com/
Black Canyon City Rock Club,http://www.bccrockclub.mysite.com/
Daisy Mountain Rock & Mineral Club,http://www.dmrmc.com/
Gila County Gem & Mineral Society,http://gilagem.org/
Huachuca Mineral and Gem Club,http://www.huachucamineralandgemclub.info/
Lake Havasu Gem & Mineral Society,http://www.lakehavasugms.org/
Mineralogical Society of Arizona,http://www.msaaz.org/
Mingus Gem & Mineral Club,http://www.mingusclub.org/
Mohave County Gemstoners,http://www.gemstoners.org/
Old Pueblo Lapidary Club,http://www.lapidaryclub.org/
Prescott Gem & Mineral Club,http://www.prescottgemmineral.org/
Quartzsite Roadrunners Gem & Mineral Club,http://www.qrgmc.org/
Rockhounds West,http://rockhounds.scwclubs.com/
Sedona Gem & Mineral Club,http://www.sedonagemandmineral.org/
Silvery Colorado River Rock Club,http://scrrc.blogspot.com/
Sunsites Gem and Mineral Club,https://sites.google.com/site/cochisecountyrock/
Tucson Gem and Mineral Society,http://www.tgms.org/
Verde River Rockhounds,http://www.verderiverrockhounds.com/
West Valley Rock & Mineral Club,http://www.westvalleyrockandmineralclub.com/
White Mountain Gem & Mineral Club,http://whitemountain-azrockclub.org/
Wickenburg Gem and Mineral Society,http://www.wickenburggms.org/
,
"Central Arkansas Gem, Mineral and Geology Society",http://www.centralarrockhound.org/
Northwest Arkansas Gem & Mineral Society,http://www.nwarockhounds.org/
"Ozark Earth Science Gem, Mineral & Fossil Club",https://www.ozarkearthscience.com/
,
Amador County Gem & Mineral Society,http://www.amadorgemandmineral.org/
American Opal Society,http://www.opalsociety.org/
Antelope Valley Gem and Mineral Club,http://avgem.weebly.com/
Antioch Lapidary Club,http://www.antiochlapidaryclub.com/
Borrego Rock and Gem Club,http://www.abdnha.org/bragclub.html
Calaveras Gem & Mineral Society,http://www.calaverasgemandmineral.org/
Carmel Valley Gem and Mineral Society,http://www.cvgms.rocks/
Central Coast Treasure Hunters Association,http://www.cctha.org/
Coalinga Rockhound Society,https://sites.google.com/site/coalingarockhounds/
Conejo Gem & Mineral Club,http://www.cgamc.org/
Contra Costa Mineral & Gem Society,http://www.ccmgs.org/
The Culver City Rock and Mineral Club,http://culvercityrocks.org/
Del Air Rockhounds Club,http://delairrockhounds.blogspot.com/
Delvers Gem & Mineral Society,https://delversgemclub.wordpress.com/
El Cajon Valley Gem & Mineral Society,http://www.ecvgms.org/
El Dorado County Mineral and Gem Society,http://www.eldoradomineralandgem.org/
Faceters Guild of Southern California,http://www.fgosc.com/
"Fallbrook Gem and Mineral Society, Inc.",http://www.fgms.org/FGMS/Home.html
Feather River Lapidary & Mineral Society,http://www.featherriverrocks.org/
First Class Miners,http://www.firstclassminers.org/
"Fossils for Fun Society, Inc.",https://www.facebook.com/The-Fossils-for-Fun-Society-994879667246272/
Fresno Gem & Mineral Society,http://fgms.us/
Gold Country Treasure Seekers,https://goldcountrytreasureseekers.shutterfly.com/
Hi-Desert Rockhounds of Morongo Valley,http://www.hi-desertrockhounds.org/
Indian Wells Valley Gem & Mineral Society,http://indianwells.weebly.com/
Kern County Mineral Society,http://kerncountymineralsociety.org/
Lemoore Gem and Mineral Club,https://www.facebook.com/Lemoore-Gem-and-Mineral-Club-706220872829687/
Livermore Valley Lithophiles,http://www.lithophiles.com/
Line Pine Gem & Mieral Society,http://lpgms.org/
Mariposa Gem & Mineral Club,http://mariposagmc.org/
Mineral & Gem Society of Castro Valley,http://www.mgscv.org/
Mineralogical Society of Southern California,http://www.mineralsocal.org/
Mojave Desert Gem & Mineral Society,http://www.mdgms.net/
Monrovia Rock Hounds Inc.,http://www.moroks.com/
Mother Lode Mineral Society,http://www.motherlodemineralsociety.com/
Needles Gem & Mineral Club,http://needlesgemmineralclub.blogspot.com/
Nevada County Gem & Mineral Society,http://www.ncgms.org/
Northern California Geological Society,http://www.ncgeolsoc.org/
North Orange County Gem & Mineral Society,http://www.nocgms.com/
Orange Belt Mineralogical Society,http://obmsrocks.yolasite.com/
Orcutt Mineral Society,http://www.omsinc.org/
Oxnard Gem & Mineral Society,http://oxnardgem.com/home/
Palmdale Gem & Mineral Club,https://www.facebook.com/palmdalegemandmineralclub/
Palomar Gem & Mineral Club,http://palomargem.org/
Palos Verdes Gem & Mineral Society,http://www.palos-verdes-gem-and-mineral-society.org/
Paradise Gem & Mineral Club,http://www.paradisegem.org/
Pasadena Lapidary Society,http://www.pasadenalapidarysociety.org/
"Peninsula Gem & Geology Society, Inc.",http://pggs.org/
Roseville Rock Rollers,http://www.rockrollers.com/
Route 66 Gold Miners Inc,http://www.route66goldminers.org/
Sacramento Mineral Society,http://www.sacramentomineralsociety.org/
Sacramento Valley Detecting Buffs,http://www.sacramentovalleydetectingbuffs.com/
Salinas Valley Rock and Gem Club,https://salinasrockandgem.pagecloud.com/
San Diego Gem and Mineral Society,http://www.sdmg.org/
San Diego Lapidary Society,http://sandiegolapidarysociety.org/
"San Francisco Gem and Mineral Society, Inc.",http://www.sfgms.org/
San Joaquin Valley Lapidary Society,http://sjvls.blogspot.com/
San Luis Obispo Gem & Mineral Club,http://www.slogem.org/
"Santa Ana Rock & Mineral Club, Inc.",http://www.sarmclub.org/
Santa Clara Valley Gem & Mineral Society,http://www.scvgms.org/
Santa Cruz Mineral and Gem Society,https://www.facebook.com/scmgs/
Santa Lucia Rockhounds,http://www.slrockhounds.org/
"Santa Rosa Mineral And Gem Society, Inc.",http://www.srmgs.org/
Searchers Gem and Mineral Society,https://www.searchersrocks.org/
"Searles Lake Gem and Mineral Society, Inc.",http://www1.iwvisp.com/tronagemclub/
Sequoia Gem and Mineral Society,http://www.sequoiagemandmineralsociety.org/
Shadow Mountain Gem & Mineral Society,http://www.shadowmountaingemmineral.org/
Shasta Gem & Mineral Society,http://www.shastagemandmineral.com/
Sierra Pelona Rock Club,http://www.sierrapelona.com/
South Bay Lapidary & Mineral Society,https://southbaylapidaryandmineralsociety.com/
South Orange County Gem & Mineral Society,https://www.facebook.com/South-Orange-County-Gem-Mineral-Society-255366124502612/
Southern California Paleontological Society,http://socalpaleo.com/
Stockton Lapidary & Mineral Club,http://www.stocktonlapidary.com/
Sutter Buttes Gem & Mineral Society,https://sutterbuttesgemmin.org/
Tehachapi Valley Gem & Mineral Society,http://www.tvgms.org/
Tule Gem and Mineral Society,http://www.tulegem.com/
Vallejo Gem & Mineral Society,http://www.vjgems.org/
"Valley Prospectors, Inc.",https://www.valleyprospectors.com/
"Ventura Gem & Mineral Society, Inc",http://vgms.org/
Victor Valley Gem and Mineral Club,http://www.vvgmc.org/
Vista Gem & Mineral Society,http://www.vistarocks.org/
West Coast Prospectors & Treasure Hunters Association,http://westcoasters.org/
West End Prospectors Corporation,http://www.wepcgold.com
